Observation ID,Filter,Magnitude_5.0,Magnitude_Error_5.0,Flux_5.0,Flux_Error_5.0,Magnitude_7.0,Magnitude_Error_7.0,Flux_7.0,Flux_Error_7.0,Magnitude_10.0,Magnitude_Error_10.0,Flux_10.0,Flux_Error_10.0,Magnitude_15.0,Magnitude_Error_15.0,Flux_15.0,Flux_Error_15.0,Magnitude_20.0,Magnitude_Error_20.0,Flux_20.0,Flux_Error_20.0,Magnitude_25.0,Magnitude_Error_25.0,Flux_25.0,Flux_Error_25.0,Magnitude_30.0,Magnitude_Error_30.0,Flux_30.0,Flux_Error_30.0,Magnitude_35.0,Magnitude_Error_35.0,Flux_35.0,Flux_Error_35.0
00096118004,uw1,13.674258,0.010587681,1.3505211e-14,1.3157799e-16,13.617138,0.0102446545,1.4234766e-14,1.3418045e-16,13.570213,0.009988179,1.4863494e-14,1.3658917e-16,13.512098,0.009710729,1.5680562e-14,1.4014111e-16,13.465841,0.009541361,1.636306e-14,1.4375058e-16,13.438021,0.00953546,1.6788068e-14,1.4743876e-16,13.422573,0.009674907,1.7029045e-14,1.5175072e-16,13.406756,0.009882808,1.7279525e-14,1.5736299e-16
00096118005,uuu,13.8819065,0.009780515,9.8892825e-15,9.00232e-17,13.814421,0.009269206,1.052229e-14,9.070129e-17,13.750444,0.008796061,1.11592356e-14,9.105934e-17,13.662463,0.008071961,1.2100293e-14,9.0558086e-17,13.586745,0.0073574726,1.29738e-14,8.838555e-17,13.529143,0.0066930843,1.3679113e-14,8.4522433e-17,13.482794,0.0059531284,1.427573e-14,7.835035e-17,13.434965,0.004954246,1.4919386e-14,6.7918424e-17
00096118006,um2,13.785053,0.023644224,1.4215666e-14,3.0944737e-16,13.73383,0.023029221,1.4902311e-14,3.1596063e-16,13.692533,0.022571426,1.5480584e-14,3.2168215e-16,13.640486,0.022059003,1.6239934e-14,3.2982372e-16,13.60454,0.021801613,1.6785904e-14,3.3695198e-16,13.587259,0.021846157,1.7054465e-14,3.430618e-16,13.578705,0.02209707,1.7189714e-14,3.4974237e-16,13.57254,0.022501092,1.7287492e-14,3.5816253e-16
00096119001,um2,12.154423,0.009140453,6.3809004e-14,5.3718687e-16,12.099613,0.00870494,6.711284e-14,5.3808033e-16,12.049943,0.008309598,7.0254444e-14,5.3768693e-16,11.984453,0.007783623,7.462249e-14,5.3496727e-16,11.936047,0.0073878826,7.8024725e-14,5.3091856e-16,11.914214,0.0072044535,7.9609564e-14,5.28253e-16,11.906274,0.0071365875,8.019395e-14,5.27118e-16,11.900628,0.007092709,8.061201e-14,5.2660817e-16
00096119002,uw1,12.227621,0.007076101,5.1183575e-14,3.3358024e-16,12.182364,0.0066588484,5.336213e-14,3.2727135e-16,12.1329975,0.0061862636,5.584443e-14,3.181881e-16,12.061678,0.0054566753,5.963587e-14,2.9971697e-16,12.0063925,0.0048238225,6.275116e-14,2.7879743e-16,11.975963,0.004403283,6.453476e-14,2.6172548e-16,11.958955,0.0040963315,6.5553655e-14,2.4732483e-16,11.94322,0.003764915,6.65106e-14,2.3063315e-16
00096119003,uuu,12.450471,0.006785686,3.6937372e-14,2.3085295e-16,12.404043,0.005520031,3.8551116e-14,1.9599912e-16,12.336585,0.0028464603,4.1022327e-14,1.075477e-16,12.208187,0.016878532,4.6172098e-14,7.1777773e-16,12.092239,0.016153976,5.1375794e-14,7.643876e-16,12.004583,0.015687618,5.5695635e-14,8.047368e-16,11.943101,0.0154465465,5.894054e-14,8.38535e-16,11.877446,0.01518846,6.261463e-14,8.759216e-16
00096120001,uw2,15.504073,0.027368465,3.3634228e-15,8.4782764e-17,15.34606,0.025601193,3.890331e-15,9.1732325e-17,15.121826,0.023299599,4.782777e-15,1.02637073e-16,14.868625,0.02117979,6.0389426e-15,1.178035e-16,14.6484,0.019564312,7.396912e-15,1.3328789e-16,14.495863,0.01880007,8.512665e-15,1.4740108e-16,14.414291,0.018962039,9.1768625e-15,1.60271e-16,14.372307,0.019773893,9.538671e-15,1.7372238e-16
00096120002,uw2,15.413616,0.022300249,3.6582222e-15,7.476061e-17,15.257552,0.020852784,4.2226392e-15,8.079228e-17,15.0412855,0.019024601,5.1525815e-15,9.0032925e-17,14.79762,0.017344492,6.449182e-15,1.02823315e-16,14.581581,0.016034285,7.869858e-15,1.1598507e-16,14.441203,0.015501894,8.955291e-15,1.2761852e-16,14.357192,0.015584778,9.674563e-15,1.386798e-16,14.32718,0.016372003,9.9448444e-15,1.4976982e-16
00096120002,uuu,15.222835,0.016294653,2.8748622e-15,4.311682e-17,14.983604,0.014629999,3.5831594e-15,4.8303377e-17,14.690799,0.012597794,4.6919366e-15,5.440285e-17,14.359438,0.009958815,6.366642e-15,5.8348923e-17,14.088328,0.006566289,8.173036e-15,4.936833e-17,13.888428,0.013983173,9.825713e-15,1.2673705e-16,13.744246,0.0143606495,1.1222451e-14,1.4861699e-16,13.618368,0.014830422,1.2603347e-14,1.7251282e-16
00096120003,uw1,15.14243,0.021204542,3.4931613e-15,6.823406e-17,14.980129,0.019827899,4.056318e-15,7.408599e-17,14.760598,0.018127818,4.965297e-15,8.291231e-17,14.514472,0.016615389,6.228968e-15,9.534268e-17,14.304495,0.015474421,7.559081e-15,1.07755674e-16,14.163826,0.015032403,8.605189e-15,1.1915472e-16,14.074873,0.015168268,9.3428225e-15,1.30492e-16,14.016972,0.01573617,9.858618e-15,1.4276248e-16
00096120003,um2,15.312525,0.026336487,3.4804959e-15,8.44257e-17,15.169371,0.024737252,3.9710264e-15,9.0475275e-17,14.971973,0.022715494,4.7627913e-15,9.964589e-17,14.735091,0.020646874,5.923992e-15,1.1265345e-16,14.538368,0.01917076,7.100745e-15,1.253773e-16,14.392114,0.018322874,8.1246655e-15,1.3711178e-16,14.302152,0.018154064,8.82654e-15,1.4758424e-16,14.259114,0.018621651,9.183441e-15,1.5750678e-16
00096121001,um2,14.048216,0.00970766,1.1152305e-14,9.971372e-17,13.978114,0.00938115,1.1896127e-14,1.027868e-16,13.905273,0.009068459,1.2721598e-14,1.0625536e-16,13.791512,0.008616727,1.4126892e-14,1.1211523e-16,13.698209,0.008292772,1.5394568e-14,1.1758256e-16,13.650016,0.00820951,1.6093282e-14,1.2168514e-16,13.619173,0.00824296,1.655701e-14,1.2570161e-16,13.5980215,0.008365894,1.6882729e-14,1.3008602e-16
00096122001,um2,13.129961,0.014105023,2.5987059e-14,3.3913802e-16,13.076689,0.013681075,2.7290765e-14,3.4494215e-16,13.031755,0.013320962,2.8444955e-14,3.5025744e-16,12.978867,0.012930485,2.9864156e-14,3.5682782e-16,12.941693,0.012680306,3.0904858e-14,3.6220235e-16,12.918278,0.0125648,3.1578337e-14,3.6667887e-16,12.907667,0.012580901,3.1887833e-14,3.7063785e-16,12.896952,0.0126234,3.2204108e-14,3.7556792e-16
00096122002,uw2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00096122002,uuu,13.493204,0.0051718745,1.4137505e-14,6.734361e-17,13.43774,0.004857517,1.4878466e-14,6.656534e-17,13.370757,0.0044118175,1.5825283e-14,6.4304994e-17,13.248884,0.0033126548,1.7705196e-14,5.4019755e-17,13.127653,0.0009139554,1.9796715e-14,1.6664558e-17,13.016037,0.007433421,2.1940142e-14,1.5021174e-16,12.906856,0.0074459673,2.4261192e-14,1.6638299e-16,12.792331,0.0074129608,2.6960137e-14,1.8407274e-16
00096123001,uw1,14.416765,0.013944631,6.8151094e-15,8.7529725e-17,13.8061,0.0099280905,1.1960211e-14,1.0936547e-16,13.370184,0.0075237267,1.7869204e-14,1.2382658e-16,12.89241,0.005117617,2.7746926e-14,1.3078512e-16,12.654413,0.0039027352,3.4547255e-14,1.241819e-16,12.494641,0.0029986564,4.0024167e-14,1.1054133e-16,12.359475,0.0020714884,4.5330313e-14,8.648622e-17,12.264573,0.0011097236,4.947088e-14,5.0563853e-17
00096123001,uuu,14.202217,0.008249795,7.358129e-15,5.590958e-17,13.556347,0.0046820394,1.3338771e-14,5.7521015e-17,13.083454,0.0012815057,2.0619247e-14,2.4337111e-17,12.561334,0.00481199,3.3351943e-14,1.4781602e-16,12.269451,0.004239101,4.3638897e-14,1.703818e-16,12.051169,0.0038667228,5.335644e-14,1.9002272e-16,11.874865,0.0035992763,6.276369e-14,2.0806515e-16,11.742747,0.0034254189,7.08852e-14,2.2363766e-16
00096123002,uw1,14.47152,0.013708656,6.4799355e-15,8.181657e-17,13.838877,0.00966319,1.1604544e-14,1.03281904e-16,13.39116,0.0072829206,1.752729e-14,1.1756987e-16,12.892706,0.0048684133,2.7739357e-14,1.2438257e-16,12.658547,0.003710886,3.4415965e-14,1.1762868e-16,12.494811,0.0027990616,4.0017923e-14,1.0316745e-16,12.359679,0.0018542936,4.5321816e-14,7.740366e-17,12.261442,0.0055476935,4.9613766e-14,2.5350722e-16
00096123003,um2,14.785379,0.018421354,5.6558677e-15,9.596137e-17,14.178498,0.013625187,9.8912594e-15,1.2412799e-16,13.734942,0.010818236,1.4882442e-14,1.4828811e-16,13.201078,0.008000355,2.433435e-14,1.7931009e-16,12.984229,0.0070070955,2.9713875e-14,1.917666e-16,12.849654,0.0064337496,3.363483e-14,1.9931e-16,12.731046,0.005949111,3.751742e-14,2.0557048e-16,12.647995,0.0056374967,4.049982e-14,2.1028828e-16
00096123004,uw1,14.528386,0.010806668,6.149281e-15,6.1205694e-17,13.893508,0.007632514,1.1035084e-14,7.7574493e-17,13.443353,0.005771518,1.6704674e-14,8.8798117e-17,12.952468,0.0039344146,2.6253781e-14,9.5136616e-17,12.714771,0.003039004,3.2679127e-14,9.1469725e-17,12.546555,0.0023367028,3.8155483e-14,8.2117574e-17,12.409216,0.001640017,4.3300473e-14,6.5405866e-17,12.306657,0.0008674358,4.759006e-14,3.8021506e-17
00096123004,uuu,14.202645,0.0071185515,7.355228e-15,4.8224028e-17,13.571858,0.004052285,1.314955e-14,4.907797e-17,13.091543,0.00064272754,2.046619e-14,1.2115451e-17,12.570904,0.0042598685,3.3059232e-14,1.2970737e-16,12.277933,0.0037900868,4.329931e-14,1.5114919e-16,12.058221,0.0034935588,5.3010984e-14,1.7057274e-16,11.881674,0.0032905207,6.237132e-14,1.8902762e-16,11.747123,0.0031699168,7.0600115e-14,2.0612418e-16
00096124001,uuu,12.882031,0.004489676,2.4822284e-14,1.0264373e-16,12.804713,0.0037153212,2.6654421e-14,9.120976e-17,12.678181,0.0019157132,2.9948995e-14,5.284312e-17,12.381353,0.0074947383,3.9365246e-14,2.717347e-16,12.09895,0.0067109335,5.105921e-14,3.1559688e-16,11.897469,0.006250395,6.1470536e-14,3.5387522e-16,11.738859,0.0059473095,7.113952e-14,3.896791e-16,11.589148,0.005678996,8.165736e-14,4.271128e-16
00096124003,um2,13.070006,0.009219286,2.7456705e-14,2.3314248e-16,13.004328,0.0088625215,2.9168898e-14,2.3809651e-16,12.948096,0.008570739,3.0719388e-14,2.4249706e-16,12.827154,0.007958044,3.4339126e-14,2.516931e-16,12.690952,0.007292411,3.8928736e-14,2.6146713e-16,12.609685,0.0069396324,4.195438e-14,2.6815718e-16,12.557618,0.0067680264,4.401532e-14,2.743731e-16,12.504413,0.0066251834,4.6225983e-14,2.8207184e-16
00096124004,uw1,12.884826,0.010307606,2.7941433e-14,2.6526637e-16,12.819929,0.009775526,2.966247e-14,2.6706877e-16,12.754584,0.009242647,3.150251e-14,2.6817436e-16,12.5993395,0.00795566,3.6344866e-14,2.663146e-16,12.42942,0.0064803907,4.2502128e-14,2.5368078e-16,12.317503,0.00542254,4.7117007e-14,2.353185e-16,12.239443,0.0046089725,5.06293e-14,2.1492242e-16,12.157984,0.0036507254,5.4573957e-14,1.8350177e-16
