Name,Target ID,Observation ID,Filter,Exposure Time (s),Date/Time of Observation,RA (J2000),Dec (J2000),RA (deg),Dec (deg),2MASS RA (deg),2MASS Dec (deg),Redshift
RBS1124,96131,00096131006,UVW1,1251.9,2022-02-25T22:59:43,12:31:36.5293,+70:44:15.113,187.9022,70.7375,187.9023,70.7373,0.208
UGC6728,96132,00096132002,UVW1,328.9,2021-08-09T17:30:21,11:45:15.9999,+79:40:54.082,176.3167,79.6817,176.3167,79.6815,0.006518
UGC6728,96132,00096132003,UVM2,1018.3,2021-09-05T19:59:41,11:45:15.9999,+79:40:54.082,176.3167,79.6817,176.3167,79.6815,0.006518
UGC6728,96132,00096132004,UVW2,1088.5,2021-09-12T17:37:30,11:45:15.9999,+79:40:54.082,176.3167,79.6817,176.3167,79.6815,0.006518
UGC6728,96132,00096132005,UVW1,1030.1,2021-09-14T15:36:29,11:45:15.9999,+79:40:54.082,176.3167,79.6817,176.3167,79.6815,0.006518
UGC6728,96132,00096132006,U,576.1,2021-09-23T22:31:10,11:45:15.9999,+79:40:54.082,176.3167,79.6817,176.3167,79.6815,0.006518
UGC6728,96132,00096132007,UVW2,711.3,2021-09-24T11:09:53,11:45:15.9999,+79:40:54.082,176.3167,79.6817,176.3167,79.6815,0.006518
UGC6728,96132,00096132008,U,271.3,2021-10-25T23:01:20,11:45:15.9999,+79:40:54.082,176.3167,79.6817,176.3167,79.6815,0.006518
UGC6728,96132,00096132011,UVW1,967.2,2022-02-21T21:53:33,11:45:15.9999,+79:40:54.082,176.3167,79.6817,176.3167,79.6815,0.006518
PG0844+349,96133,00096133001,UVW2,242.0,2021-06-04T11:49:49,8:47:42.4560,+34:45:04.320,131.9269,34.7512,131.9269,34.7512,0.064
PG0844+349,96133,00096133001,UVM2,967.2,2021-06-05T03:46:33,8:47:42.4560,+34:45:04.320,131.9269,34.7512,131.9269,34.7512,0.064
PG0844+349,96133,00096133002,UVW2,175.0,2021-06-08T08:28:58,8:47:42.4560,+34:45:04.320,131.9269,34.7512,131.9269,34.7512,0.064
PG0844+349,96133,00096133003,UVW1,747.3,2021-06-10T03:15:16,8:47:42.4560,+34:45:04.320,131.9269,34.7512,131.9269,34.7512,0.064
